grade,semester,topicId,unitTitle,type,difficulty,count,evidenceCardIds,assessmentPatternCardIds,zhongkaoPatternCardIds
S1,lower,bnu-junior-s1-lower-axis-symmetry,生活中的轴对称,short-answer,Core,15,bnu-junior-s1-lower-axis-symmetry,bnu-junior-s1-lower-assessment-axis-symmetry-unit|bnu-junior-s1-lower-assessment-final-1-to-6-integrated,pep-junior-exam-coordinate-transformations|pep-junior-exam-triangles-congruence-proof
S1,lower,bnu-junior-s1-lower-axis-symmetry,生活中的轴对称,fill-in,Foundation,1,bnu-junior-s1-lower-axis-symmetry,bnu-junior-s1-lower-assessment-axis-symmetry-unit|bnu-junior-s1-lower-assessment-final-1-to-6-integrated,pep-junior-exam-coordinate-transformations|pep-junior-exam-triangles-congruence-proof
S1,lower,bnu-junior-s1-lower-axis-symmetry,生活中的轴对称,multiple-choice,Core,15,bnu-junior-s1-lower-axis-symmetry,bnu-junior-s1-lower-assessment-axis-symmetry-unit|bnu-junior-s1-lower-assessment-final-1-to-6-integrated,pep-junior-exam-coordinate-transformations|pep-junior-exam-triangles-congruence-proof
S1,lower,bnu-junior-s1-lower-axis-symmetry,生活中的轴对称,fill-in,Core,10,bnu-junior-s1-lower-axis-symmetry,bnu-junior-s1-lower-assessment-axis-symmetry-unit|bnu-junior-s1-lower-assessment-final-1-to-6-integrated,pep-junior-exam-coordinate-transformations|pep-junior-exam-triangles-congruence-proof
S1,lower,bnu-junior-s1-lower-intersecting-parallel-lines,相交线与平行线,multiple-choice,Core,7,bnu-junior-s1-lower-intersecting-parallel-lines,bnu-junior-s1-lower-assessment-intersecting-parallel-lines-unit|bnu-junior-s1-lower-assessment-monthly-1-to-2-integrated,pep-junior-exam-number-sense-real-numbers|pep-junior-exam-linear-equation-inequality-models
S1,lower,bnu-junior-s1-lower-intersecting-parallel-lines,相交线与平行线,short-answer,Foundation,7,bnu-junior-s1-lower-intersecting-parallel-lines,bnu-junior-s1-lower-assessment-intersecting-parallel-lines-unit|bnu-junior-s1-lower-assessment-monthly-1-to-2-integrated,pep-junior-exam-number-sense-real-numbers|pep-junior-exam-linear-equation-inequality-models
S1,lower,bnu-junior-s1-lower-intersecting-parallel-lines,相交线与平行线,fill-in,Core,7,bnu-junior-s1-lower-intersecting-parallel-lines,bnu-junior-s1-lower-assessment-intersecting-parallel-lines-unit|bnu-junior-s1-lower-assessment-monthly-1-to-2-integrated,pep-junior-exam-number-sense-real-numbers|pep-junior-exam-linear-equation-inequality-models
S1,lower,bnu-junior-s1-lower-intersecting-parallel-lines,相交线与平行线,multiple-choice,Foundation,7,bnu-junior-s1-lower-intersecting-parallel-lines,bnu-junior-s1-lower-assessment-intersecting-parallel-lines-unit|bnu-junior-s1-lower-assessment-monthly-1-to-2-integrated,pep-junior-exam-number-sense-real-numbers|pep-junior-exam-linear-equation-inequality-models
S1,lower,bnu-junior-s1-lower-intersecting-parallel-lines,相交线与平行线,short-answer,Core,7,bnu-junior-s1-lower-intersecting-parallel-lines,bnu-junior-s1-lower-assessment-intersecting-parallel-lines-unit|bnu-junior-s1-lower-assessment-monthly-1-to-2-integrated,pep-junior-exam-number-sense-real-numbers|pep-junior-exam-linear-equation-inequality-models
S1,lower,bnu-junior-s1-lower-intersecting-parallel-lines,相交线与平行线,fill-in,Foundation,7,bnu-junior-s1-lower-intersecting-parallel-lines,bnu-junior-s1-lower-assessment-intersecting-parallel-lines-unit|bnu-junior-s1-lower-assessment-monthly-1-to-2-integrated,pep-junior-exam-number-sense-real-numbers|pep-junior-exam-linear-equation-inequality-models
S1,lower,bnu-junior-s1-lower-polynomial-multiply-divide,整式的乘除,multiple-choice,Core,7,bnu-junior-s1-lower-polynomial-multiply-divide,bnu-junior-s1-lower-assessment-polynomial-multiply-divide-unit|bnu-junior-s1-lower-assessment-monthly-1-to-2-integrated,pep-junior-exam-number-sense-real-numbers|pep-junior-exam-linear-equation-inequality-models
S1,lower,bnu-junior-s1-lower-polynomial-multiply-divide,整式的乘除,short-answer,Foundation,7,bnu-junior-s1-lower-polynomial-multiply-divide,bnu-junior-s1-lower-assessment-polynomial-multiply-divide-unit|bnu-junior-s1-lower-assessment-monthly-1-to-2-integrated,pep-junior-exam-number-sense-real-numbers|pep-junior-exam-linear-equation-inequality-models
S1,lower,bnu-junior-s1-lower-polynomial-multiply-divide,整式的乘除,fill-in,Core,7,bnu-junior-s1-lower-polynomial-multiply-divide,bnu-junior-s1-lower-assessment-polynomial-multiply-divide-unit|bnu-junior-s1-lower-assessment-monthly-1-to-2-integrated,pep-junior-exam-number-sense-real-numbers|pep-junior-exam-linear-equation-inequality-models
S1,lower,bnu-junior-s1-lower-polynomial-multiply-divide,整式的乘除,multiple-choice,Foundation,7,bnu-junior-s1-lower-polynomial-multiply-divide,bnu-junior-s1-lower-assessment-polynomial-multiply-divide-unit|bnu-junior-s1-lower-assessment-monthly-1-to-2-integrated,pep-junior-exam-number-sense-real-numbers|pep-junior-exam-linear-equation-inequality-models
