grade,semester,topicId,unitTitle,type,difficulty,count,evidenceCardIds,assessmentPatternCardIds,paperPatternCardIds
P1,lower,bnu-primary-p1-lower-math-play-review,数学好玩与整理复习,fill-in,Foundation,3,bnu-primary-p1-lower-math-play-review,bnu-primary-p1-lower-assessment-within-20-addition|bnu-primary-p1-lower-assessment-shape-transformation,
P1,lower,bnu-primary-p1-lower-math-play-review,数学好玩与整理复习,multiple-choice,Foundation,12,bnu-primary-p1-lower-math-play-review,bnu-primary-p1-lower-assessment-within-20-addition|bnu-primary-p1-lower-assessment-shape-transformation,
P1,lower,bnu-primary-p1-lower-observe-objects,观察物体,fill-in,Core,3,bnu-primary-p1-lower-observe-objects,bnu-primary-p1-lower-assessment-shape-transformation|bnu-primary-p4-lower-assessment-observe-objects-unit,
P1,lower,bnu-primary-p1-lower-observe-objects,观察物体,short-answer,Foundation,3,bnu-primary-p1-lower-observe-objects,bnu-primary-p1-lower-assessment-shape-transformation|bnu-primary-p4-lower-assessment-observe-objects-unit,
P1,lower,bnu-primary-p1-lower-observe-objects,观察物体,multiple-choice,Core,3,bnu-primary-p1-lower-observe-objects,bnu-primary-p1-lower-assessment-shape-transformation|bnu-primary-p4-lower-assessment-observe-objects-unit,
P1,lower,bnu-primary-p1-lower-observe-objects,观察物体,fill-in,Foundation,2,bnu-primary-p1-lower-observe-objects,bnu-primary-p1-lower-assessment-shape-transformation|bnu-primary-p4-lower-assessment-observe-objects-unit,
P1,lower,bnu-primary-p1-lower-observe-objects,观察物体,short-answer,Core,2,bnu-primary-p1-lower-observe-objects,bnu-primary-p1-lower-assessment-shape-transformation|bnu-primary-p4-lower-assessment-observe-objects-unit,
P1,lower,bnu-primary-p1-lower-observe-objects,观察物体,multiple-choice,Foundation,2,bnu-primary-p1-lower-observe-objects,bnu-primary-p1-lower-assessment-shape-transformation|bnu-primary-p4-lower-assessment-observe-objects-unit,
P1,lower,bnu-primary-p1-lower-plane-shapes,有趣的图形,multiple-choice,Core,5,bnu-primary-p1-lower-plane-shapes,bnu-primary-p1-lower-assessment-plane-shapes|bnu-primary-p1-lower-assessment-monthly-5-to-6-integrated,
P1,lower,bnu-primary-p1-lower-plane-shapes,有趣的图形,fill-in,Foundation,7,bnu-primary-p1-lower-plane-shapes,bnu-primary-p1-lower-assessment-plane-shapes|bnu-primary-p1-lower-assessment-monthly-5-to-6-integrated,
P1,lower,bnu-primary-p1-lower-plane-shapes,有趣的图形,multiple-choice,Foundation,3,bnu-primary-p1-lower-plane-shapes,bnu-primary-p1-lower-assessment-plane-shapes|bnu-primary-p1-lower-assessment-monthly-5-to-6-integrated,
P1,lower,bnu-primary-p1-lower-within-100-add-sub-integrated,加与减（三）,multiple-choice,Foundation,8,bnu-primary-p1-lower-within-100-add-sub-integrated,bnu-primary-p1-lower-assessment-within-20-addition|bnu-primary-p1-lower-assessment-shape-transformation,
P1,lower,bnu-primary-p1-lower-within-100-add-sub-integrated,加与减（三）,fill-in,Foundation,7,bnu-primary-p1-lower-within-100-add-sub-integrated,bnu-primary-p1-lower-assessment-within-20-addition|bnu-primary-p1-lower-assessment-shape-transformation,
P1,lower,bnu-primary-p1-lower-within-100-add-sub-nonregrouping,加与减（二）,fill-in,Foundation,8,bnu-primary-p1-lower-within-100-add-sub-nonregrouping,bnu-primary-p1-lower-assessment-within-100-add-sub|bnu-primary-p1-lower-assessment-monthly-5-to-6-integrated,
P1,lower,bnu-primary-p1-lower-within-100-add-sub-nonregrouping,加与减（二）,multiple-choice,Foundation,7,bnu-primary-p1-lower-within-100-add-sub-nonregrouping,bnu-primary-p1-lower-assessment-within-100-add-sub|bnu-primary-p1-lower-assessment-monthly-5-to-6-integrated,
P1,lower,bnu-primary-p1-lower-within-100-number-sense,生活中的数,fill-in,Foundation,6,bnu-primary-p1-lower-within-100-number-sense,bnu-primary-p1-lower-assessment-within-100-number-sense|bnu-primary-p1-lower-assessment-midterm-integrated,
P1,lower,bnu-primary-p1-lower-within-100-number-sense,生活中的数,short-answer,Core,1,bnu-primary-p1-lower-within-100-number-sense,bnu-primary-p1-lower-assessment-within-100-number-sense|bnu-primary-p1-lower-assessment-midterm-integrated,
P1,lower,bnu-primary-p1-lower-within-100-number-sense,生活中的数,multiple-choice,Foundation,1,bnu-primary-p1-lower-within-100-number-sense,bnu-primary-p1-lower-assessment-within-100-number-sense|bnu-primary-p1-lower-assessment-midterm-integrated,
P1,lower,bnu-primary-p1-lower-within-100-number-sense,生活中的数,fill-in,Core,1,bnu-primary-p1-lower-within-100-number-sense,bnu-primary-p1-lower-assessment-within-100-number-sense|bnu-primary-p1-lower-assessment-midterm-integrated,
P1,lower,bnu-primary-p1-lower-within-100-number-sense,生活中的数,short-answer,Foundation,1,bnu-primary-p1-lower-within-100-number-sense,bnu-primary-p1-lower-assessment-within-100-number-sense|bnu-primary-p1-lower-assessment-midterm-integrated,
P1,lower,bnu-primary-p1-lower-within-100-number-sense,生活中的数,multiple-choice,Core,5,bnu-primary-p1-lower-within-100-number-sense,bnu-primary-p1-lower-assessment-within-100-number-sense|bnu-primary-p1-lower-assessment-midterm-integrated,
P1,lower,bnu-primary-p1-lower-within-20-regrouping,加与减（一）,multiple-choice,Core,3,bnu-primary-p1-lower-within-20-regrouping,bnu-primary-p1-lower-assessment-within-100-add-sub|bnu-primary-p1-lower-assessment-within-20-addition,
P1,lower,bnu-primary-p1-lower-within-20-regrouping,加与减（一）,fill-in,Foundation,3,bnu-primary-p1-lower-within-20-regrouping,bnu-primary-p1-lower-assessment-within-100-add-sub|bnu-primary-p1-lower-assessment-within-20-addition,
P1,lower,bnu-primary-p1-lower-within-20-regrouping,加与减（一）,short-answer,Core,3,bnu-primary-p1-lower-within-20-regrouping,bnu-primary-p1-lower-assessment-within-100-add-sub|bnu-primary-p1-lower-assessment-within-20-addition,
P1,lower,bnu-primary-p1-lower-within-20-regrouping,加与减（一）,multiple-choice,Foundation,3,bnu-primary-p1-lower-within-20-regrouping,bnu-primary-p1-lower-assessment-within-100-add-sub|bnu-primary-p1-lower-assessment-within-20-addition,
P1,lower,bnu-primary-p1-lower-within-20-regrouping,加与减（一）,fill-in,Core,2,bnu-primary-p1-lower-within-20-regrouping,bnu-primary-p1-lower-assessment-within-100-add-sub|bnu-primary-p1-lower-assessment-within-20-addition,
P1,lower,bnu-primary-p1-lower-within-20-regrouping,加与减（一）,short-answer,Foundation,2,bnu-primary-p1-lower-within-20-regrouping,bnu-primary-p1-lower-assessment-within-100-add-sub|bnu-primary-p1-lower-assessment-within-20-addition,
P1,upper,bnu-primary-p1-upper-classification,分类,multiple-choice,Core,6,bnu-primary-p1-upper-classification,bnu-primary-p1-upper-assessment-classification|bnu-primary-p1-upper-assessment-midterm-integrated,
P1,upper,bnu-primary-p1-upper-classification,分类,fill-in,Challenge,5,bnu-primary-p1-upper-classification,bnu-primary-p1-upper-assessment-classification|bnu-primary-p1-upper-assessment-midterm-integrated,
P1,upper,bnu-primary-p1-upper-classification,分类,short-answer,Foundation,5,bnu-primary-p1-upper-classification,bnu-primary-p1-upper-assessment-classification|bnu-primary-p1-upper-assessment-midterm-integrated,
P1,upper,bnu-primary-p1-upper-clock-introduction,认识钟表,fill-in,Core,3,bnu-primary-p1-upper-clock-introduction,bnu-primary-p1-upper-assessment-school-readiness-number-sense|bnu-primary-p1-upper-assessment-within-5-add-sub,
P1,upper,bnu-primary-p1-upper-clock-introduction,认识钟表,short-answer,Foundation,3,bnu-primary-p1-upper-clock-introduction,bnu-primary-p1-upper-assessment-school-readiness-number-sense|bnu-primary-p1-upper-assessment-within-5-add-sub,
P1,upper,bnu-primary-p1-upper-clock-introduction,认识钟表,multiple-choice,Core,3,bnu-primary-p1-upper-clock-introduction,bnu-primary-p1-upper-assessment-school-readiness-number-sense|bnu-primary-p1-upper-assessment-within-5-add-sub,
P1,upper,bnu-primary-p1-upper-clock-introduction,认识钟表,fill-in,Foundation,3,bnu-primary-p1-upper-clock-introduction,bnu-primary-p1-upper-assessment-school-readiness-number-sense|bnu-primary-p1-upper-assessment-within-5-add-sub,
P1,upper,bnu-primary-p1-upper-clock-introduction,认识钟表,short-answer,Core,2,bnu-primary-p1-upper-clock-introduction,bnu-primary-p1-upper-assessment-school-readiness-number-sense|bnu-primary-p1-upper-assessment-within-5-add-sub,
P1,upper,bnu-primary-p1-upper-clock-introduction,认识钟表,multiple-choice,Foundation,2,bnu-primary-p1-upper-clock-introduction,bnu-primary-p1-upper-assessment-school-readiness-number-sense|bnu-primary-p1-upper-assessment-within-5-add-sub,
P1,upper,bnu-primary-p1-upper-comparison,比较,fill-in,Foundation,1,bnu-primary-p1-upper-comparison,bnu-primary-p1-upper-assessment-school-readiness-number-sense|bnu-primary-p1-upper-assessment-within-5-add-sub,
P1,upper,bnu-primary-p1-upper-comparison,比较,short-answer,Core,1,bnu-primary-p1-upper-comparison,bnu-primary-p1-upper-assessment-school-readiness-number-sense|bnu-primary-p1-upper-assessment-within-5-add-sub,
P1,upper,bnu-primary-p1-upper-comparison,比较,multiple-choice,Challenge,1,bnu-primary-p1-upper-comparison,bnu-primary-p1-upper-assessment-school-readiness-number-sense|bnu-primary-p1-upper-assessment-within-5-add-sub,
P1,upper,bnu-primary-p1-upper-comparison,比较,fill-in,Exam,1,bnu-primary-p1-upper-comparison,bnu-primary-p1-upper-assessment-school-readiness-number-sense|bnu-primary-p1-upper-assessment-within-5-add-sub,
P1,upper,bnu-primary-p1-upper-comparison,比较,short-answer,Foundation,4,bnu-primary-p1-upper-comparison,bnu-primary-p1-upper-assessment-school-readiness-number-sense|bnu-primary-p1-upper-assessment-within-5-add-sub,
P1,upper,bnu-primary-p1-upper-comparison,比较,multiple-choice,Core,4,bnu-primary-p1-upper-comparison,bnu-primary-p1-upper-assessment-school-readiness-number-sense|bnu-primary-p1-upper-assessment-within-5-add-sub,
P1,upper,bnu-primary-p1-upper-comparison,比较,fill-in,Challenge,4,bnu-primary-p1-upper-comparison,bnu-primary-p1-upper-assessment-school-readiness-number-sense|bnu-primary-p1-upper-assessment-within-5-add-sub,
P1,upper,bnu-primary-p1-upper-life-number-sense,生活中的数,multiple-choice,Foundation,2,bnu-primary-p1-upper-life-number-sense,bnu-primary-p1-upper-assessment-school-readiness-number-sense|bnu-primary-p1-upper-assessment-monthly-1-to-2-integrated,
P1,upper,bnu-primary-p1-upper-life-number-sense,生活中的数,fill-in,Core,2,bnu-primary-p1-upper-life-number-sense,bnu-primary-p1-upper-assessment-school-readiness-number-sense|bnu-primary-p1-upper-assessment-monthly-1-to-2-integrated,
P1,upper,bnu-primary-p1-upper-life-number-sense,生活中的数,short-answer,Challenge,2,bnu-primary-p1-upper-life-number-sense,bnu-primary-p1-upper-assessment-school-readiness-number-sense|bnu-primary-p1-upper-assessment-monthly-1-to-2-integrated,
P1,upper,bnu-primary-p1-upper-life-number-sense,生活中的数,multiple-choice,Exam,2,bnu-primary-p1-upper-life-number-sense,bnu-primary-p1-upper-assessment-school-readiness-number-sense|bnu-primary-p1-upper-assessment-monthly-1-to-2-integrated,
P1,upper,bnu-primary-p1-upper-life-number-sense,生活中的数,fill-in,Foundation,1,bnu-primary-p1-upper-life-number-sense,bnu-primary-p1-upper-assessment-school-readiness-number-sense|bnu-primary-p1-upper-assessment-monthly-1-to-2-integrated,
