grade,semester,topicId,unitTitle,type,difficulty,count,evidenceCardIds,assessmentPatternCardIds,paperPatternCardIds
P1,lower,hjb-primary-p1-lower-body-rulers-math-square,身体上的尺子与数学广场,multiple-choice,Foundation,10,hjb-primary-p1-lower-body-rulers-math-square,hjb-primary-p1-lower-assessment-within-20-regrouping|hjb-primary-p1-lower-assessment-within-100-number-sense,
P1,lower,hjb-primary-p1-lower-body-rulers-math-square,身体上的尺子与数学广场,fill-in,Foundation,9,hjb-primary-p1-lower-body-rulers-math-square,hjb-primary-p1-lower-assessment-within-20-regrouping|hjb-primary-p1-lower-assessment-within-100-number-sense,
P1,lower,hjb-primary-p1-lower-length-measurement,长度的比较与测量,fill-in,Foundation,10,hjb-primary-p1-lower-length-measurement,hjb-primary-p1-lower-assessment-length-measurement|hjb-primary-p1-lower-assessment-within-20-regrouping,
P1,lower,hjb-primary-p1-lower-length-measurement,长度的比较与测量,multiple-choice,Core,3,hjb-primary-p1-lower-length-measurement,hjb-primary-p1-lower-assessment-length-measurement|hjb-primary-p1-lower-assessment-within-20-regrouping,
P1,lower,hjb-primary-p1-lower-length-measurement,长度的比较与测量,multiple-choice,Foundation,6,hjb-primary-p1-lower-length-measurement,hjb-primary-p1-lower-assessment-length-measurement|hjb-primary-p1-lower-assessment-within-20-regrouping,
P1,lower,hjb-primary-p1-lower-review,一年级下册整理与复习,fill-in,Foundation,5,hjb-primary-p1-lower-review,hjb-primary-p1-lower-assessment-final-integrated|hjb-primary-p1-lower-assessment-within-20-regrouping,
P1,lower,hjb-primary-p1-lower-review,一年级下册整理与复习,multiple-choice,Foundation,14,hjb-primary-p1-lower-review,hjb-primary-p1-lower-assessment-final-integrated|hjb-primary-p1-lower-assessment-within-20-regrouping,
P1,lower,hjb-primary-p1-lower-time-introduction,时间的初步认识,multiple-choice,Core,8,hjb-primary-p1-lower-time-introduction,hjb-primary-p1-lower-assessment-time-introduction|hjb-primary-p1-lower-assessment-midterm-1-to-4-integrated,
P1,lower,hjb-primary-p1-lower-time-introduction,时间的初步认识,fill-in,Foundation,7,hjb-primary-p1-lower-time-introduction,hjb-primary-p1-lower-assessment-time-introduction|hjb-primary-p1-lower-assessment-midterm-1-to-4-integrated,
P1,lower,hjb-primary-p1-lower-time-introduction,时间的初步认识,short-answer,Core,1,hjb-primary-p1-lower-time-introduction,hjb-primary-p1-lower-assessment-time-introduction|hjb-primary-p1-lower-assessment-midterm-1-to-4-integrated,
