grade,topicId,topicTitleZhHans,expectedTotal,actualTotal,multipleChoice,fillIn,shortAnswer,Foundation,Core,Challenge,Exam
S4,pep-high-s4-sets-logic,集合与常用逻辑用语,40,40,12,12,16,10,10,10,10
S4,pep-high-s4-quadratic-inequalities,一元二次函数、方程和不等式,40,40,12,12,16,10,10,10,10
S4,pep-high-s4-function-properties,函数的概念与性质,40,40,12,12,16,10,10,10,10
S4,pep-high-s4-exp-log,指数函数与对数函数,40,40,12,12,16,10,10,10,10
S4,pep-high-s4-trigonometry,三角函数,40,40,12,12,16,13,14,13,0
S4,pep-high-s4-plane-vectors,平面向量及其应用,40,40,12,12,16,13,13,14,0
S4,pep-high-s4-complex-numbers,复数,40,40,12,12,16,14,13,13,0
S4,pep-high-s4-solid-geometry-intro,立体几何初步,40,40,12,12,16,0,20,20,0
S4,pep-high-s4-statistics,统计,40,40,12,12,16,0,40,0,0
S4,pep-high-s4-probability,概率,40,40,12,12,16,0,40,0,0
S5,pep-high-s5-space-vectors,空间向量与立体几何,80,80,24,24,32,20,20,20,20
S5,pep-high-s5-lines-circles,直线和圆的方程,80,80,24,24,32,20,20,20,20
S5,pep-high-s5-conics,圆锥曲线的方程,80,80,24,24,32,20,20,20,20
S5,pep-high-s5-sequences,数列,80,80,24,24,32,0,40,40,0
S5,pep-high-s5-derivatives,一元函数的导数及其应用,80,80,24,24,32,0,60,20,0
S6,pep-high-s6-counting,计数原理,57,57,17,17,23,14,14,15,14
S6,pep-high-s6-random-variables,随机变量及其分布,57,57,17,17,23,14,15,14,14
S6,pep-high-s6-bivariate-data,成对数据的统计分析,57,57,17,17,23,12,15,15,15
S6,pep-high-s6-derivative-synthesis,导数综合,57,57,17,17,23,0,19,19,19
S6,pep-high-s6-analytic-geometry-synthesis,解析几何综合,57,57,17,17,23,0,19,19,19
S6,pep-high-s6-probability-statistics-synthesis,概率统计综合,57,57,17,17,23,0,19,19,19
S6,pep-high-s6-exam-practice,高考风格综合练习,58,58,18,18,22,0,19,39,0
