grade,semester,unitTitle,primaryConceptId,type,difficulty,count,evidenceCardIds,examPatternCardIds
P1,lower,100以内加减法,within-100-addition-subtraction,fill-in,Core,1,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-within-100-add-sub-review
P1,lower,100以内加减法,within-100-addition-subtraction,fill-in,Foundation,1,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-within-100-add-sub-review
P1,lower,100以内加减法,within-100-addition-subtraction,multiple-choice,Foundation,4,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-within-100-add-sub-review
P1,lower,100以内加减法,within-100-addition-subtraction,multiple-choice,Core,1,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-within-100-add-sub-review
P1,lower,100以内数的认识,within-100-numbers,fill-in,Core,2,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-within-100-place-value
P1,lower,100以内数的认识,within-100-numbers,fill-in,Foundation,1,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-within-100-place-value
P1,lower,100以内数的认识,within-100-numbers,multiple-choice,Foundation,1,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-within-100-place-value
P1,lower,100以内数的认识,within-100-numbers,short-answer,Core,1,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-within-100-place-value
P1,lower,20以内退位减法,within-20-regrouping-subtraction,fill-in,Core,2,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-within-20-regrouping-subtraction
P1,lower,20以内退位减法,within-20-regrouping-subtraction,fill-in,Foundation,1,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-within-20-regrouping-subtraction
P1,lower,20以内退位减法,within-20-regrouping-subtraction,multiple-choice,Core,1,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-within-20-regrouping-subtraction
P1,lower,20以内退位减法,within-20-regrouping-subtraction,multiple-choice,Foundation,1,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-within-20-regrouping-subtraction
P1,lower,一年级下册综合复习,within-100-addition-subtraction,fill-in,Core,1,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-within-100-add-sub-review
P1,lower,一年级下册综合复习,within-100-addition-subtraction,multiple-choice,Foundation,2,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-within-100-add-sub-review
P1,lower,一年级下册综合复习,within-100-addition-subtraction,short-answer,Challenge,1,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-within-100-add-sub-review
P1,lower,一年级下册综合复习,within-100-addition-subtraction,short-answer,Foundation,1,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-within-100-add-sub-review
