id,family,grade,status
"us-ca-k5-verified-templates-v3-01-1","k5_count_next","K","verified"
"us-ca-k5-verified-templates-v3-01-2","k5_count_next","K","verified"
"us-ca-k5-verified-templates-v3-01-3","k5_count_next","K","verified"
"us-ca-k5-verified-templates-v3-02-1","k5_count_before","P1","verified"
"us-ca-k5-verified-templates-v3-02-2","k5_count_before","P1","verified"
"us-ca-k5-verified-templates-v3-02-3","k5_count_before","P1","verified"
"us-ca-k5-verified-templates-v3-03-1","k5_skip_count","P2","verified"
"us-ca-k5-verified-templates-v3-03-2","k5_skip_count","P2","verified"
"us-ca-k5-verified-templates-v3-03-3","k5_skip_count","P2","verified"
"us-ca-k5-verified-templates-v3-04-1","k5_compare_numbers","P1","verified"
"us-ca-k5-verified-templates-v3-04-2","k5_compare_numbers","P1","verified"
"us-ca-k5-verified-templates-v3-04-3","k5_compare_numbers","P1","verified"
"us-ca-k5-verified-templates-v3-05-1","k5_teen_ones","K","verified"
"us-ca-k5-verified-templates-v3-05-2","k5_teen_ones","K","verified"
"us-ca-k5-verified-templates-v3-05-3","k5_teen_ones","K","verified"
"us-ca-k5-verified-templates-v3-06-1","k5_add_within_10","K","verified"
"us-ca-k5-verified-templates-v3-06-2","k5_add_within_10","K","verified"
"us-ca-k5-verified-templates-v3-06-3","k5_add_within_10","K","verified"
"us-ca-k5-verified-templates-v3-07-1","k5_sub_within_10","K","verified"
"us-ca-k5-verified-templates-v3-07-2","k5_sub_within_10","K","verified"
"us-ca-k5-verified-templates-v3-07-3","k5_sub_within_10","K","verified"
"us-ca-k5-verified-templates-v3-08-1","k5_make_ten","K","verified"
"us-ca-k5-verified-templates-v3-08-2","k5_make_ten","K","verified"
"us-ca-k5-verified-templates-v3-08-3","k5_make_ten","K","verified"
"us-ca-k5-verified-templates-v3-09-1","k5_decompose_within_ten","K","verified"
"us-ca-k5-verified-templates-v3-09-2","k5_decompose_within_ten","K","verified"
"us-ca-k5-verified-templates-v3-09-3","k5_decompose_within_ten","K","verified"
"us-ca-k5-verified-templates-v3-10-1","k5_add_within_20","P1","verified"
"us-ca-k5-verified-templates-v3-10-2","k5_add_within_20","P1","verified"
"us-ca-k5-verified-templates-v3-10-3","k5_add_within_20","P1","verified"
"us-ca-k5-verified-templates-v3-11-1","k5_sub_within_20","P1","verified"
"us-ca-k5-verified-templates-v3-11-2","k5_sub_within_20","P1","verified"
"us-ca-k5-verified-templates-v3-11-3","k5_sub_within_20","P1","verified"
"us-ca-k5-verified-templates-v3-12-1","k5_add_within_100","P1","verified"
"us-ca-k5-verified-templates-v3-12-2","k5_add_within_100","P1","verified"
"us-ca-k5-verified-templates-v3-12-3","k5_add_within_100","P1","verified"
"us-ca-k5-verified-templates-v3-13-1","k5_sub_within_100","P2","verified"
"us-ca-k5-verified-templates-v3-13-2","k5_sub_within_100","P2","verified"
"us-ca-k5-verified-templates-v3-13-3","k5_sub_within_100","P2","verified"
"us-ca-k5-verified-templates-v3-14-1","k5_add_within_1000","P2","verified"
"us-ca-k5-verified-templates-v3-14-2","k5_add_within_1000","P2","verified"
"us-ca-k5-verified-templates-v3-14-3","k5_add_within_1000","P2","verified"
"us-ca-k5-verified-templates-v3-15-1","k5_sub_within_1000","P2","verified"
"us-ca-k5-verified-templates-v3-15-2","k5_sub_within_1000","P2","verified"
"us-ca-k5-verified-templates-v3-15-3","k5_sub_within_1000","P2","verified"
"us-ca-k5-verified-templates-v3-16-1","k5_arithmetic_pattern","P4","verified"
"us-ca-k5-verified-templates-v3-16-2","k5_arithmetic_pattern","P4","verified"
"us-ca-k5-verified-templates-v3-16-3","k5_arithmetic_pattern","P4","verified"
"us-ca-k5-verified-templates-v3-17-1","k5_mult_fact","P3","verified"
"us-ca-k5-verified-templates-v3-17-2","k5_mult_fact","P3","verified"
"us-ca-k5-verified-templates-v3-17-3","k5_mult_fact","P3","verified"
"us-ca-k5-verified-templates-v3-18-1","k5_div_fact","P3","verified"
"us-ca-k5-verified-templates-v3-18-2","k5_div_fact","P3","verified"
"us-ca-k5-verified-templates-v3-18-3","k5_div_fact","P3","verified"
"us-ca-k5-verified-templates-v3-19-1","k5_missing_factor","P3","verified"
"us-ca-k5-verified-templates-v3-19-2","k5_missing_factor","P3","verified"
"us-ca-k5-verified-templates-v3-19-3","k5_missing_factor","P3","verified"
"us-ca-k5-verified-templates-v3-20-1","k5_multi_digit_multiply","P4","verified"
"us-ca-k5-verified-templates-v3-20-2","k5_multi_digit_multiply","P4","verified"
"us-ca-k5-verified-templates-v3-20-3","k5_multi_digit_multiply","P4","verified"
"us-ca-k5-verified-templates-v3-21-1","k5_divide_multi_digit","P5","verified"
"us-ca-k5-verified-templates-v3-21-2","k5_divide_multi_digit","P5","verified"
"us-ca-k5-verified-templates-v3-21-3","k5_divide_multi_digit","P5","verified"
"us-ca-k5-verified-templates-v3-22-1","k5_multiply_power_of_ten","P5","verified"
"us-ca-k5-verified-templates-v3-22-2","k5_multiply_power_of_ten","P5","verified"
"us-ca-k5-verified-templates-v3-22-3","k5_multiply_power_of_ten","P5","verified"
"us-ca-k5-verified-templates-v3-23-1","k5_place_value_digit","P2","verified"
"us-ca-k5-verified-templates-v3-23-2","k5_place_value_digit","P2","verified"
"us-ca-k5-verified-templates-v3-23-3","k5_place_value_digit","P2","verified"
"us-ca-k5-verified-templates-v3-24-1","k5_round_to_ten","P3","verified"
"us-ca-k5-verified-templates-v3-24-2","k5_round_to_ten","P3","verified"
"us-ca-k5-verified-templates-v3-24-3","k5_round_to_ten","P3","verified"
"us-ca-k5-verified-templates-v3-25-1","k5_round_to_hundred","P3","verified"
"us-ca-k5-verified-templates-v3-25-2","k5_round_to_hundred","P3","verified"
"us-ca-k5-verified-templates-v3-25-3","k5_round_to_hundred","P3","verified"
"us-ca-k5-verified-templates-v3-26-1","k5_equivalent_fraction_numerator","P3","verified"
"us-ca-k5-verified-templates-v3-26-2","k5_equivalent_fraction_numerator","P3","verified"
"us-ca-k5-verified-templates-v3-26-3","k5_equivalent_fraction_numerator","P3","verified"
"us-ca-k5-verified-templates-v3-27-1","k5_add_fractions_like","P4","verified"
"us-ca-k5-verified-templates-v3-27-2","k5_add_fractions_like","P4","verified"
"us-ca-k5-verified-templates-v3-27-3","k5_add_fractions_like","P4","verified"
"us-ca-k5-verified-templates-v3-28-1","k5_fraction_of_number","P4","verified"
"us-ca-k5-verified-templates-v3-28-2","k5_fraction_of_number","P4","verified"
"us-ca-k5-verified-templates-v3-28-3","k5_fraction_of_number","P4","verified"
"us-ca-k5-verified-templates-v3-29-1","k5_unit_fraction_parts","P3","verified"
"us-ca-k5-verified-templates-v3-29-2","k5_unit_fraction_parts","P3","verified"
"us-ca-k5-verified-templates-v3-29-3","k5_unit_fraction_parts","P3","verified"
"us-ca-k5-verified-templates-v3-30-1","k5_length_conversion","P4","verified"
"us-ca-k5-verified-templates-v3-30-2","k5_length_conversion","P4","verified"
"us-ca-k5-verified-templates-v3-30-3","k5_length_conversion","P4","verified"
"us-ca-k5-verified-templates-v3-31-1","k5_elapsed_minutes","P3","verified"
"us-ca-k5-verified-templates-v3-31-2","k5_elapsed_minutes","P3","verified"
"us-ca-k5-verified-templates-v3-31-3","k5_elapsed_minutes","P3","verified"
"us-ca-k5-verified-templates-v3-32-1","k5_money_cents","P2","verified"
"us-ca-k5-verified-templates-v3-32-2","k5_money_cents","P2","verified"
"us-ca-k5-verified-templates-v3-32-3","k5_money_cents","P2","verified"
"us-ca-k5-verified-templates-v3-33-1","k5_rectangle_perimeter","P3","verified"
"us-ca-k5-verified-templates-v3-33-2","k5_rectangle_perimeter","P3","verified"
"us-ca-k5-verified-templates-v3-33-3","k5_rectangle_perimeter","P3","verified"
"us-ca-k5-verified-templates-v3-34-1","k5_rectangle_area","P3","verified"
"us-ca-k5-verified-templates-v3-34-2","k5_rectangle_area","P3","verified"
"us-ca-k5-verified-templates-v3-34-3","k5_rectangle_area","P3","verified"
"us-ca-k5-verified-templates-v3-35-1","k5_prism_volume","P5","verified"
"us-ca-k5-verified-templates-v3-35-2","k5_prism_volume","P5","verified"
"us-ca-k5-verified-templates-v3-35-3","k5_prism_volume","P5","verified"
"us-ca-k5-verified-templates-v3-36-1","k5_polygon_sides","P2","verified"
"us-ca-k5-verified-templates-v3-36-2","k5_polygon_sides","P2","verified"
"us-ca-k5-verified-templates-v3-36-3","k5_polygon_sides","P2","verified"
"us-ca-k5-verified-templates-v3-37-1","k5_word_number","K","verified"
"us-ca-k5-verified-templates-v3-37-2","k5_word_number","K","verified"
"us-ca-k5-verified-templates-v3-37-3","k5_word_number","K","verified"
